Date,BTC_USD,USD_Index,TLT,HYG,US10Y_Yield,VIX,Nasdaq100,SP500
2017-12-01,11075,92.90,126.55,87.38,2.36,11.43,6337.87,2642.22
2017-12-04,11917,93.19,126.61,87.35,2.38,11.68,6263.70,2639.44
2017-12-05,14292,93.38,127.24,87.30,2.36,11.33,6265.11,2629.57
2017-12-06,17900,93.61,127.68,87.22,2.33,11.02,6293.05,2629.27
2017-12-07,16569,93.80,126.68,87.26,2.38,10.16,6316.28,2636.98
2017-12-08,15178,93.90,126.69,87.35,2.38,9.58,6344.57,2651.50
2017-12-11,17415,93.87,126.43,87.37,2.38,9.34,6393.89,2659.99
2017-12-12,16408,94.10,126.38,87.33,2.40,9.92,6383.65,2664.11
2017-12-13,16564,93.43,127.33,87.38,2.35,10.18,6394.67,2662.85
2017-12-14,17707,93.49,127.87,87.20,2.35,10.49,6389.91,2652.01
2017-12-15,19497,93.93,128.35,87.21,2.36,9.42,6466.32,2675.81
2017-12-18,17777,93.70,127.18,87.30,2.39,9.53,6513.27,2690.16
2017-12-19,16625,93.47,125.53,87.12,2.46,10.03,6480.67,2681.47
2017-12-20,15803,93.35,124.14,87.19,2.50,9.72,6472.48,2679.25
2017-12-21,13832,93.28,124.60,86.92,2.48,9.62,6472.69,2684.57
2017-12-22,14699,93.35,124.77,87.00,2.48,9.90,6465.17,2683.34
2017-12-26,15838,93.26,125.14,87.13,2.47,10.25,6433.16,2680.50
2017-12-27,14606,93.03,126.77,87.17,2.41,10.47,6435.15,2682.62
2017-12-28,14656,92.60,126.66,87.13,2.43,10.18,6441.42,2687.54
2017-12-29,12952,92.12,126.86,87.26,2.40,11.04,6396.42,2673.61
2018-01-02,15201,91.85,125.49,87.34,2.46,9.77,6511.34,2695.81
2018-01-03,15599,92.16,126.09,87.76,2.45,9.15,6575.80,2713.06
2018-01-04,17430,91.85,126.07,87.91,2.45,9.22,6584.58,2723.99
2018-01-05,17527,91.95,125.71,87.97,2.48,9.22,6653.29,2743.15
2018-01-08,14595,92.33,125.63,87.90,2.48,9.52,6676.63,2747.71
2018-01-09,14973,92.53,123.95,87.63,2.55,10.08,6677.94,2751.29
2018-01-10,13406,92.33,123.80,87.44,2.55,9.82,6662.66,2748.23
2018-01-11,13981,91.85,124.31,87.73,2.53,9.88,6708.49,2767.56
2018-01-12,14360,90.97,124.52,87.58,2.55,10.16,6758.54,2786.24
2018-01-16,11189,90.39,125.04,87.53,2.54,11.66,6737.14,2776.42
2018-01-17,11475,90.54,124.87,87.54,2.58,11.91,6810.28,2802.56
2018-01-18,11607,90.50,123.71,87.45,2.61,12.22,6811.38,2798.03
2018-01-19,12899,90.57,123.06,87.54,2.64,11.27,6834.33,2810.30
2018-01-22,10868,90.40,123.18,87.62,2.66,11.03,6906.28,2832.97
2018-01-23,11359,90.12,123.71,87.88,2.62,11.10,6963.46,2839.13
2018-01-24,11259,89.21,123.04,87.75,2.65,11.47,6919.35,2837.54
2018-01-25,11171,89.39,124.05,87.69,2.62,11.58,6916.30,2839.25
2018-01-26,11441,89.07,123.59,87.76,2.66,11.08,7022.97,2872.87
